Cell_ID,Cell_type,Area,X,Y,CD3,CD4,CD8a,CD68,DNA1,Ki67,S100
1,Th,64.0,4.0625,515.390625,0.8963163303444297,0.7173629778642813,0.21770558056569528,0.15751114475725722,0.9496877153002617,0.7330985145755848,0.05344797605026378
2,Th,62.0,5.129032258064516,339.96774193548384,0.509591739183566,0.46188557546323256,0.32703394225429255,0.2902221946829411,0.8845362444475352,0.16428994234551966,0.022604017089374633
3,B,37.0,3.7027027027027026,473.13513513513516,0.262186638122443,0.3563337176668563,0.29921761059566904,0.1420437589443288,0.9757231746980778,0.11958151521661838,0.09812354819798338
4,B,12.0,2.5,478.5,0.2366885253504853,0.12979506251238088,0.47821717861922014,0.13874883592760956,0.9959004894180573,0.27443215260084236,0.056858311062683374
5,Th,68.0,7.602941176470588,290.72058823529414,0.6529141862750473,0.6609361897331315,0.17994714724589156,0.19326230941948447,0.9368917758234829,0.2695994484711488,0.09263298417451166
6,Th,99.0,6.7272727272727275,325.6060606060606,0.5857844594268472,0.5418519973814041,0.1269784031970964,0.14732462794466014,0.9338320103151962,0.15055689932032018,0.007161924911204712
7,Mphi,46.0,5.108695652173913,388.2173913043478,0.05776457262333231,0.4144796132808725,0.0795888617236559,0.33647954205232006,0.7419915398706766,0.13862240786189797,0.05921995188463956
8,Th,21.0,4.0,447.0,0.7907728632144084,0.835865236819528,0.1845710515115114,0.28388603305492927,0.802074947774375,0.10007158833368218,0.22539021461902242
9,Th,38.0,5.473684210526316,460.6578947368421,0.8486617456298543,0.7835957067875421,0.09503277726625364,0.16386990169912774,0.9174485182405857,0.17660887477714135,0.08760052909534946
10,Th,80.0,7.2,570.8375,0.5650953742103746,0.6935498364757519,0.42113734927471985,0.7786518006813384,0.8341973532366418,0.8635188288528567,0.12141996161632859
11,other,42.0,4.857142857142857,635.2857142857143,0.09224913310643315,0.2684992830252292,0.12546537509708486,0.47061367549685335,0.919578464764211,0.17929772663011043,0.19536421593344183
12,Mphi,29.0,5.896551724137931,428.51724137931035,0.10971536946239938,0.42898510972249865,0.14825369882084038,0.5357399561758482,0.7242808491784294,0.20611389969857527,0.0807927687950633
13,Th,63.0,7.2063492063492065,453.06349206349205,0.6788207513257974,0.6519945029435136,0.1459072395266347,0.14454008629725137,0.9007848043992992,0.11303897093100015,0.07975969872093899
14,Th,49.0,6.73469387755102,544.7551020408164,0.7660764888290205,0.8100158752046402,0.19091980718982046,0.48742883659812314,0.864853623075431,0.28596583189940655,0.10699315289878793
